bonus,roomid,trialnum,networkid,object_id,partnernum,stim_set_id,participantid,previously_interacted_with_neighbor_of_partner
0.27,0,10,7,target,0,0,27,FALSE
0.3,0,11,7,target,0,0,27,FALSE
0.33,0,12,7,target,0,0,32,FALSE
0.36,0,13,7,target,0,0,32,FALSE
0.39,0,14,7,target,0,0,32,FALSE
0.42,0,15,7,target,0,0,32,FALSE
0,1,0,7,target,0,0,26,FALSE
0.03,1,1,7,target,0,0,26,FALSE
0.06,1,2,7,target,0,0,26,FALSE
0.09,1,3,7,target,0,0,26,FALSE
0.12,1,4,7,target,0,0,25,FALSE
0.15,1,5,7,target,0,0,25,FALSE
0.18,1,6,7,target,0,0,25,FALSE
0.21,1,7,7,target,0,0,25,FALSE
0.24,1,8,7,target,0,0,26,FALSE
0.27,1,9,7,target,0,0,26,FALSE
0.3,1,10,7,target,0,0,26,FALSE
0.33,1,11,7,target,0,0,26,FALSE
0.36,1,12,7,target,0,0,25,FALSE
0.39,1,13,7,target,0,0,25,FALSE
0.42,1,14,7,target,0,0,25,FALSE
0.45,1,15,7,target,0,0,25,FALSE
0.48,2,0,7,target,1,0,26,FALSE
0.57,2,3,7,target,1,0,26,FALSE
0.51,2,1,7,target,1,0,26,FALSE
0.54,2,2,7,target,1,0,26,FALSE
0.57,2,4,7,target,1,0,27,FALSE
0.6,2,5,7,target,1,0,27,FALSE
0.63,2,6,7,target,1,0,27,FALSE
0.66,2,7,7,target,1,0,27,FALSE
0.75,2,9,7,target,1,0,26,FALSE
0.72,2,8,7,target,1,0,26,FALSE
0.78,2,10,7,target,1,0,26,FALSE
0.81,2,12,7,target,1,0,27,FALSE
0.87,2,14,7,target,1,0,27,FALSE
0.81,2,11,7,target,1,0,26,FALSE
0.84,2,13,7,target,1,0,27,FALSE
0.9,2,15,7,target,1,0,27,FALSE
0.48,3,0,7,target,1,0,25,FALSE
0.51,3,1,7,target,1,0,25,FALSE
0.54,3,2,7,target,1,0,25,FALSE
0.57,3,3,7,target,1,0,25,FALSE
0.57,3,4,7,target,1,0,32,FALSE
0.6,3,5,7,target,1,0,32,FALSE
0.72,3,8,7,target,1,0,25,FALSE
0.63,3,6,7,target,1,0,32,FALSE
0.66,3,7,7,target,1,0,32,FALSE
0.78,3,10,7,target,1,0,25,FALSE
0.75,3,9,7,target,1,0,25,FALSE
0.81,3,11,7,target,1,0,25,FALSE
0.81,3,12,7,target,1,0,32,FALSE
0.84,3,13,7,target,1,0,32,FALSE
0.9,3,15,7,target,1,0,32,FALSE
0.87,3,14,7,target,1,0,32,FALSE
0.93,4,0,7,target,2,0,27,TRUE
0.96,4,1,7,target,2,0,27,TRUE
1.02,4,3,7,target,2,0,27,TRUE
1.08,4,4,7,target,2,0,25,TRUE
0.99,4,2,7,target,2,0,27,TRUE
1.11,4,5,7,target,2,0,25,TRUE
1.14,4,6,7,target,2,0,25,TRUE
1.17,4,7,7,target,2,0,25,TRUE
1.2,4,9,7,target,2,0,27,TRUE
1.23,4,10,7,target,2,0,27,TRUE
1.17,4,8,7,target,2,0,27,TRUE
1.26,4,11,7,target,2,0,27,TRUE
1.35,4,13,7,target,2,0,25,TRUE
1.38,4,14,7,target,2,0,25,TRUE
1.32,4,12,7,target,2,0,25,TRUE
1.41,4,15,7,target,2,0,25,TRUE
0.93,5,0,7,target,2,0,32,TRUE
0.96,5,1,7,target,2,0,32,TRUE
0.99,5,2,7,target,2,0,32,TRUE
1.08,5,4,7,target,2,0,26,TRUE
1.02,5,3,7,target,2,0,32,TRUE
1.11,5,5,7,target,2,0,26,TRUE
1.14,5,6,7,target,2,0,26,TRUE
1.17,5,7,7,target,2,0,26,TRUE
1.17,5,8,7,target,2,0,32,TRUE
1.2,5,9,7,target,2,0,32,TRUE
1.23,5,10,7,target,2,0,32,TRUE
1.35,5,13,7,target,2,0,26,TRUE
1.26,5,11,7,target,2,0,32,TRUE
1.32,5,12,7,target,2,0,26,TRUE
1.38,5,14,7,target,2,0,26,TRUE
1.41,5,15,7,target,2,0,26,TRUE
0,0,0,8,target,0,0,36,FALSE
0.03,0,1,8,target,0,0,36,FALSE
0.06,0,2,8,target,0,0,36,FALSE
0.09,0,3,8,target,0,0,36,FALSE
0.12,0,4,8,target,0,0,31,FALSE
0.15,0,5,8,target,0,0,31,FALSE
0.18,0,6,8,target,0,0,31,FALSE
0,1,0,8,target,0,0,29,FALSE
0.03,1,1,8,target,0,0,29,FALSE
0.06,1,2,8,target,0,0,29,FALSE
0.09,1,3,8,distr1,0,0,29,FALSE
0.09,1,4,8,target,0,0,30,FALSE
0.12,1,5,8,target,0,0,30,FALSE
0.15,1,6,8,target,0,0,30,FALSE
0.18,1,7,8,target,0,0,30,FALSE
0.21,1,8,8,target,0,0,29,FALSE
0.24,1,9,8,target,0,0,29,FALSE
0.27,1,10,8,target,0,0,29,FALSE
0.3,1,11,8,target,0,0,29,FALSE
0.33,1,12,8,target,0,0,30,FALSE
0.36,1,13,8,target,0,0,30,FALSE
0.39,1,14,8,target,0,0,30,FALSE
0.42,1,15,8,target,0,0,30,FALSE
0,0,0,9,distr0,0,0,35,FALSE
0,0,1,9,target,0,0,35,FALSE
0.03,0,2,9,target,0,0,35,FALSE
0.06,0,3,9,target,0,0,35,FALSE
0.09,0,4,9,target,0,0,40,FALSE
0.12,0,5,9,target,0,0,40,FALSE
0.15,0,6,9,target,0,0,40,FALSE
0.18,0,7,9,target,0,0,40,FALSE
0.21,0,8,9,target,0,0,35,FALSE
0.24,0,9,9,target,0,0,35,FALSE
0.27,0,10,9,target,0,0,35,FALSE
0.3,0,11,9,target,0,0,35,FALSE
0.33,0,12,9,target,0,0,40,FALSE
0.36,0,13,9,target,0,0,40,FALSE
0.39,0,14,9,target,0,0,40,FALSE
0.42,0,15,9,target,0,0,40,FALSE
0,1,0,9,target,0,0,34,FALSE
0.03,1,1,9,target,0,0,34,FALSE
0.06,1,2,9,distr1,0,0,34,FALSE
0.06,1,3,9,target,0,0,34,FALSE
0.09,1,4,9,target,0,0,33,FALSE
0.12,1,5,9,target,0,0,33,FALSE
0.15,1,6,9,target,0,0,33,FALSE
0.18,1,7,9,target,0,0,33,FALSE
0.21,1,8,9,target,0,0,34,FALSE
0.24,1,9,9,target,0,0,34,FALSE
0.27,1,10,9,target,0,0,34,FALSE
0.3,1,11,9,target,0,0,34,FALSE
0.33,1,12,9,target,0,0,33,FALSE
0.36,1,13,9,target,0,0,33,FALSE
0.39,1,14,9,target,0,0,33,FALSE
0.42,1,15,9,target,0,0,33,FALSE
0.45,2,0,9,distr0,1,0,33,FALSE
0.45,2,1,9,target,1,0,33,FALSE
0.51,2,3,9,target,1,0,33,FALSE
0.48,2,2,9,target,1,0,33,FALSE
0.54,2,4,9,target,1,0,35,FALSE
0.57,2,5,9,target,1,0,35,FALSE
0.6,2,6,9,distr1,1,0,35,FALSE
0.6,2,7,9,target,1,0,35,FALSE
0.63,2,8,9,target,1,0,33,FALSE
0.66,2,9,9,target,1,0,33,FALSE
0.69,2,10,9,target,1,0,33,FALSE
0.72,2,11,9,distr1,1,0,33,FALSE
0.72,2,12,9,target,1,0,35,FALSE
0.75,2,13,9,target,1,0,35,FALSE
0.78,2,14,9,distr0,1,0,35,FALSE
0.78,2,15,9,distr0,1,0,35,FALSE
0.45,3,0,9,target,1,0,34,FALSE
0.48,3,1,9,target,1,0,34,FALSE
0.51,3,2,9,target,1,0,34,FALSE
0.57,3,4,9,target,1,0,40,FALSE
0.63,3,6,9,target,1,0,40,FALSE
0.54,3,3,9,target,1,0,34,FALSE
0.6,3,5,9,target,1,0,40,FALSE
0.69,3,8,9,target,1,0,34,FALSE
0.66,3,7,9,target,1,0,40,FALSE
0.72,3,9,9,target,1,0,34,FALSE
0.75,3,10,9,target,1,0,34,FALSE
0.78,3,11,9,target,1,0,34,FALSE
0.81,3,12,9,target,1,0,40,FALSE
0.87,3,14,9,target,1,0,40,FALSE
0.84,3,13,9,target,1,0,40,FALSE
0.9,3,15,9,target,1,0,40,FALSE
0.78,4,0,9,target,2,0,35,TRUE
0.81,4,1,9,target,2,0,35,TRUE
0.87,4,3,9,target,2,0,35,TRUE
0.84,4,2,9,target,2,0,35,TRUE
1.05,4,4,9,target,2,0,34,TRUE
1.08,4,5,9,target,2,0,34,TRUE
1.11,4,6,9,target,2,0,34,TRUE
1.02,4,8,9,target,2,0,35,TRUE
1.14,4,7,9,target,2,0,34,TRUE
1.08,4,10,9,target,2,0,35,TRUE
1.05,4,9,9,target,2,0,35,TRUE
1.11,4,11,9,target,2,0,35,TRUE
1.29,4,12,9,target,2,0,34,TRUE
1.32,4,13,9,target,2,0,34,TRUE
1.35,4,14,9,target,2,0,34,TRUE
1.38,4,15,9,target,2,0,34,TRUE
0.78,5,0,9,target,2,0,33,TRUE
0.81,5,1,9,target,2,0,33,TRUE
0.84,5,2,9,target,2,0,33,TRUE
0.87,5,3,9,target,2,0,33,TRUE
1.08,5,5,9,target,2,0,40,TRUE
1.05,5,4,9,target,2,0,40,TRUE
1.11,5,6,9,target,2,0,40,TRUE
1.14,5,7,9,distr1,2,0,40,TRUE
0.99,5,8,9,target,2,0,33,TRUE
1.08,5,11,9,target,2,0,33,TRUE
1.02,5,9,9,target,2,0,33,TRUE
1.05,5,10,9,target,2,0,33,TRUE
1.35,5,15,9,target,2,0,40,TRUE
1.26,5,12,9,target,2,0,40,TRUE
1.29,5,13,9,target,2,0,40,TRUE
1.32,5,14,9,target,2,0,40,TRUE
0,0,0,12,target,0,2,45,FALSE
0.03,0,1,12,target,0,2,45,FALSE
0.06,0,2,12,target,0,2,45,FALSE
0.09,0,3,12,target,0,2,45,FALSE
0.12,0,4,12,target,0,2,41,FALSE
0.15,0,5,12,target,0,2,41,FALSE
0.18,0,6,12,target,0,2,41,FALSE
0.21,0,7,12,target,0,2,41,FALSE
0.24,0,8,12,target,0,2,45,FALSE
0.27,0,9,12,target,0,2,45,FALSE
0.3,0,10,12,target,0,2,45,FALSE
0.33,0,11,12,target,0,2,45,FALSE
0.39,0,13,12,target,0,2,41,FALSE
0.42,0,14,12,target,0,2,41,FALSE
0.36,0,12,12,target,0,2,41,FALSE
0.45,0,15,12,target,0,2,41,FALSE
0,1,0,12,distr0,0,2,47,FALSE
0,1,1,12,target,0,2,47,FALSE
0.03,1,2,12,target,0,2,47,FALSE
0.12,1,5,12,target,0,2,46,FALSE
0.06,1,3,12,target,0,2,47,FALSE
0.09,1,4,12,target,0,2,46,FALSE
0.15,1,6,12,target,0,2,46,FALSE
0.18,1,7,12,target,0,2,46,FALSE
0.21,1,8,12,target,0,2,47,FALSE
0.24,1,9,12,target,0,2,47,FALSE
0.27,1,10,12,target,0,2,47,FALSE
0.3,1,11,12,target,0,2,47,FALSE
0.33,1,12,12,target,0,2,46,FALSE
0.36,1,13,12,target,0,2,46,FALSE
0.39,1,14,12,target,0,2,46,FALSE
0.42,1,15,12,target,0,2,46,FALSE
0.45,2,0,12,target,1,2,47,FALSE
0.48,2,1,12,target,1,2,47,FALSE
0.51,2,2,12,target,1,2,47,FALSE
0.6,2,4,12,target,1,2,41,FALSE
0.54,2,3,12,target,1,2,47,FALSE
0.63,2,5,12,target,1,2,41,FALSE
0.66,2,6,12,target,1,2,41,FALSE
0.69,2,7,12,target,1,2,41,FALSE
0.69,2,8,12,target,1,2,47,FALSE
0.75,2,10,12,target,1,2,47,FALSE
0.78,2,11,12,target,1,2,47,FALSE
0.87,2,13,12,target,1,2,41,FALSE
0.9,2,14,12,target,1,2,41,FALSE
0.84,2,12,12,target,1,2,41,FALSE
0.93,2,15,12,target,1,2,41,FALSE
0.72,2,9,12,target,1,2,47,FALSE
0.45,3,0,12,target,1,2,46,FALSE
0.48,3,1,12,target,1,2,46,FALSE
0.51,3,2,12,target,1,2,46,FALSE
0.63,3,5,12,target,1,2,45,FALSE
0.6,3,4,12,target,1,2,45,FALSE
0.54,3,3,12,target,1,2,46,FALSE
0.66,3,6,12,target,1,2,45,FALSE
0.69,3,7,12,target,1,2,45,FALSE
0.72,3,9,12,target,1,2,46,FALSE
0.84,3,12,12,target,1,2,45,FALSE
0.87,3,13,12,target,1,2,45,FALSE
0.69,3,8,12,target,1,2,46,FALSE
0.75,3,10,12,target,1,2,46,FALSE
0.78,3,11,12,target,1,2,46,FALSE
0.9,3,14,12,target,1,2,45,FALSE
0.93,3,15,12,target,1,2,45,FALSE
0.96,4,1,12,target,2,2,46,TRUE
1.02,4,3,12,target,2,2,46,TRUE
0.93,4,0,12,target,2,2,46,TRUE
0.99,4,2,12,target,2,2,46,TRUE
1.08,4,4,12,target,2,2,41,TRUE
1.11,4,5,12,target,2,2,41,TRUE
1.14,4,6,12,target,2,2,41,TRUE
1.17,4,7,12,target,2,2,41,TRUE
1.32,4,12,12,target,2,2,41,TRUE
1.35,4,13,12,target,2,2,41,TRUE
1.2,4,9,12,target,2,2,46,TRUE
1.26,4,11,12,target,2,2,46,TRUE
1.38,4,14,12,target,2,2,41,TRUE
1.17,4,8,12,target,2,2,46,TRUE
1.23,4,10,12,target,2,2,46,TRUE
1.41,4,15,12,target,2,2,41,TRUE
1.08,5,4,12,target,2,2,45,TRUE
0.93,5,0,12,target,2,2,47,TRUE
0.96,5,1,12,target,2,2,47,TRUE
0.99,5,2,12,target,2,2,47,TRUE
1.02,5,3,12,target,2,2,47,TRUE
1.11,5,5,12,target,2,2,45,TRUE
1.14,5,6,12,target,2,2,45,TRUE
1.17,5,7,12,distr0,2,2,45,TRUE
1.23,5,11,12,target,2,2,47,TRUE
1.14,5,8,12,target,2,2,47,TRUE
1.2,5,10,12,target,2,2,47,TRUE
1.17,5,9,12,target,2,2,47,TRUE
1.29,5,12,12,target,2,2,45,TRUE
1.32,5,13,12,target,2,2,45,TRUE
1.35,5,14,12,target,2,2,45,TRUE
1.38,5,15,12,target,2,2,45,TRUE
0,0,0,13,target,0,1,52,FALSE
0.03,0,1,13,target,0,1,52,FALSE
0.06,0,2,13,target,0,1,52,FALSE
0.09,0,3,13,target,0,1,52,FALSE
0.15,0,5,13,target,0,1,51,FALSE
0.12,0,4,13,target,0,1,51,FALSE
0.18,0,6,13,target,0,1,51,FALSE
0.24,0,8,13,target,0,1,52,FALSE
0.21,0,7,13,target,0,1,51,FALSE
0.27,0,9,13,target,0,1,52,FALSE
0.33,0,11,13,target,0,1,52,FALSE
0.3,0,10,13,target,0,1,52,FALSE
0.36,0,12,13,target,0,1,51,FALSE
0.45,0,15,13,target,0,1,51,FALSE
0.39,0,13,13,target,0,1,51,FALSE
0.42,0,14,13,target,0,1,51,FALSE
0,1,0,13,distr2,0,1,50,FALSE
0,1,1,13,target,0,1,50,FALSE
0.03,1,2,13,target,0,1,50,FALSE
0.09,1,4,13,target,0,1,49,FALSE
0.12,1,5,13,target,0,1,49,FALSE
0.06,1,3,13,target,0,1,50,FALSE
0.15,1,6,13,target,0,1,49,FALSE
0.18,1,7,13,target,0,1,49,FALSE
0.21,1,8,13,target,0,1,50,FALSE
0.24,1,9,13,target,0,1,50,FALSE
0.27,1,10,13,target,0,1,50,FALSE
0.3,1,11,13,target,0,1,50,FALSE
0.36,1,13,13,target,0,1,49,FALSE
0.33,1,12,13,target,0,1,49,FALSE
0.39,1,14,13,target,0,1,49,FALSE
0.42,1,15,13,target,0,1,49,FALSE
0.45,2,1,13,target,1,1,50,FALSE
0.45,2,0,13,distr2,1,1,50,FALSE
0.48,2,2,13,target,1,1,50,FALSE
0.51,2,3,13,target,1,1,50,FALSE
0.63,2,6,13,target,1,1,51,FALSE
0.57,2,4,13,target,1,1,51,FALSE
0.6,2,5,13,target,1,1,51,FALSE
0.66,2,7,13,target,1,1,51,FALSE
0.69,2,10,13,target,1,1,50,FALSE
0.66,2,8,13,distr2,1,1,50,FALSE
0.81,2,13,13,target,1,1,51,FALSE
0.87,2,15,13,target,1,1,51,FALSE
0.66,2,9,13,target,1,1,50,FALSE
0.72,2,11,13,target,1,1,50,FALSE
0.78,2,12,13,target,1,1,51,FALSE
0.84,2,14,13,target,1,1,51,FALSE
0.45,3,0,13,distr0,1,1,49,FALSE
0.45,3,1,13,target,1,1,49,FALSE
0.48,3,2,13,target,1,1,49,FALSE
0.57,3,4,13,target,1,1,52,FALSE
0.51,3,3,13,target,1,1,49,FALSE
0.6,3,5,13,target,1,1,52,FALSE
0.63,3,6,13,target,1,1,52,FALSE
0.66,3,7,13,target,1,1,52,FALSE
0.66,3,8,13,target,1,1,49,FALSE
0.69,3,9,13,target,1,1,49,FALSE
0.87,3,14,13,target,1,1,52,FALSE
0.9,3,15,13,target,1,1,52,FALSE
0.72,3,10,13,target,1,1,49,FALSE
0.75,3,11,13,target,1,1,49,FALSE
0.84,3,13,13,target,1,1,52,FALSE
0.81,3,12,13,target,1,1,52,FALSE
0.9,4,0,13,target,2,1,51,TRUE
0.93,4,1,13,target,2,1,51,TRUE
0.96,4,2,13,target,2,1,51,TRUE
0.99,4,3,13,target,2,1,51,TRUE
1.02,4,4,13,target,2,1,49,TRUE
1.14,4,8,13,target,2,1,51,TRUE
1.17,4,9,13,target,2,1,51,TRUE
1.05,4,5,13,target,2,1,49,TRUE
1.23,4,11,13,target,2,1,51,TRUE
1.26,4,12,13,target,2,1,49,TRUE
1.08,4,6,13,target,2,1,49,TRUE
1.11,4,7,13,target,2,1,49,TRUE
1.2,4,10,13,target,2,1,51,TRUE
1.29,4,13,13,target,2,1,49,TRUE
1.32,4,14,13,target,2,1,49,TRUE
1.35,4,15,13,target,2,1,49,TRUE
0.87,5,0,13,target,2,1,50,TRUE
0.9,5,1,13,target,2,1,50,TRUE
1.05,5,4,13,target,2,1,52,TRUE
0.96,5,3,13,target,2,1,50,TRUE
1.08,5,5,13,target,2,1,52,TRUE
1.11,5,6,13,target,2,1,52,TRUE
0.93,5,2,13,target,2,1,50,TRUE
1.14,5,7,13,target,2,1,52,TRUE
1.14,5,9,13,target,2,1,50,TRUE
1.17,5,10,13,target,2,1,50,TRUE
1.11,5,8,13,target,2,1,50,TRUE
1.2,5,11,13,target,2,1,50,TRUE
1.29,5,12,13,target,2,1,52,TRUE
1.32,5,13,13,target,2,1,52,TRUE
1.35,5,14,13,target,2,1,52,TRUE
1.38,5,15,13,target,2,1,52,TRUE
0,0,0,16,target,0,2,59,FALSE
0.03,0,1,16,target,0,2,59,FALSE
0.09,0,3,16,target,0,2,59,FALSE
0.12,0,4,16,target,0,2,63,FALSE
0.18,0,6,16,target,0,2,63,FALSE
0.06,0,2,16,target,0,2,59,FALSE
0.15,0,5,16,target,0,2,63,FALSE
0.21,0,7,16,target,0,2,63,FALSE
0.24,0,8,16,target,0,2,59,FALSE
0.27,0,9,16,target,0,2,59,FALSE
0.3,0,10,16,target,0,2,59,FALSE
0.33,0,11,16,target,0,2,59,FALSE
0.39,0,13,16,target,0,2,63,FALSE
0.36,0,12,16,target,0,2,63,FALSE
0.42,0,14,16,target,0,2,63,FALSE
0.45,0,15,16,target,0,2,63,FALSE
0,1,0,16,target,0,2,62,FALSE
0.03,1,1,16,target,0,2,62,FALSE
0.06,1,2,16,target,0,2,62,FALSE
0.09,1,3,16,target,0,2,62,FALSE
0.12,1,4,16,target,0,2,64,FALSE
0.27,1,9,16,target,0,2,62,FALSE
0.15,1,5,16,target,0,2,64,FALSE
0.18,1,6,16,target,0,2,64,FALSE
0.21,1,7,16,target,0,2,64,FALSE
0.24,1,8,16,target,0,2,62,FALSE
0.3,1,10,16,target,0,2,62,FALSE
0.33,1,11,16,target,0,2,62,FALSE
0.36,1,12,16,target,0,2,64,FALSE
0.45,1,15,16,target,0,2,64,FALSE
0.39,1,13,16,target,0,2,64,FALSE
0.42,1,14,16,target,0,2,64,FALSE
0.48,2,0,16,target,1,2,64,FALSE
0.51,2,1,16,target,1,2,64,FALSE
0.54,2,2,16,target,1,2,64,FALSE
0.57,2,3,16,target,1,2,64,FALSE
0.6,2,4,16,target,1,2,59,FALSE
0.69,2,7,16,target,1,2,59,FALSE
0.63,2,5,16,target,1,2,59,FALSE
0.66,2,6,16,target,1,2,59,FALSE
0.72,2,8,16,target,1,2,64,FALSE
0.84,2,12,16,target,1,2,59,FALSE
0.75,2,9,16,target,1,2,64,FALSE
0.78,2,10,16,target,1,2,64,FALSE
0.81,2,11,16,target,1,2,64,FALSE
0.87,2,13,16,target,1,2,59,FALSE
0.9,2,14,16,target,1,2,59,FALSE
0.93,2,15,16,target,1,2,59,FALSE
0.48,3,0,16,target,1,2,62,FALSE
0.51,3,1,16,target,1,2,62,FALSE
0.54,3,2,16,target,1,2,62,FALSE
0.57,3,3,16,target,1,2,62,FALSE
0.6,3,4,16,target,1,2,63,FALSE
0.63,3,5,16,distr0,1,2,63,FALSE
0.63,3,6,16,target,1,2,63,FALSE
0.66,3,7,16,target,1,2,63,FALSE
0.72,3,9,16,target,1,2,62,FALSE
0.69,3,8,16,target,1,2,62,FALSE
0.81,3,12,16,target,1,2,63,FALSE
0.9,3,15,16,target,1,2,63,FALSE
0.87,3,14,16,target,1,2,63,FALSE
0.75,3,10,16,target,1,2,62,FALSE
0.78,3,11,16,target,1,2,62,FALSE
0.84,3,13,16,target,1,2,63,FALSE
0.96,4,0,16,target,2,2,59,TRUE
1.02,4,2,16,target,2,2,59,TRUE
0.99,4,1,16,target,2,2,59,TRUE
1.05,4,3,16,target,2,2,59,TRUE
1.05,4,4,16,target,2,2,62,TRUE
1.08,4,5,16,target,2,2,62,TRUE
1.11,4,6,16,target,2,2,62,TRUE
1.14,4,7,16,target,2,2,62,TRUE
1.2,4,8,16,target,2,2,59,TRUE
1.23,4,9,16,target,2,2,59,TRUE
1.32,4,13,16,target,2,2,62,TRUE
1.26,4,10,16,target,2,2,59,TRUE
1.29,4,11,16,target,2,2,59,TRUE
1.29,4,12,16,target,2,2,62,TRUE
1.38,4,15,16,target,2,2,62,TRUE
1.35,4,14,16,target,2,2,62,TRUE
0.99,5,1,16,target,2,2,64,TRUE
0.96,5,0,16,target,2,2,64,TRUE
1.02,5,2,16,target,2,2,64,TRUE
1.05,5,3,16,target,2,2,64,TRUE
1.05,5,4,16,target,2,2,63,TRUE
1.08,5,5,16,target,2,2,63,TRUE
1.11,5,6,16,target,2,2,63,TRUE
1.14,5,7,16,target,2,2,63,TRUE
1.2,5,8,16,target,2,2,64,TRUE
1.23,5,9,16,target,2,2,64,TRUE
1.26,5,10,16,target,2,2,64,TRUE
1.29,5,12,16,target,2,2,63,TRUE
1.32,5,13,16,target,2,2,63,TRUE
1.29,5,11,16,target,2,2,64,TRUE
1.35,5,14,16,target,2,2,63,TRUE
1.38,5,15,16,target,2,2,63,TRUE
0,0,0,17,target,0,2,67,FALSE
0.03,0,1,17,target,0,2,67,FALSE
0.06,0,2,17,target,0,2,67,FALSE
0.09,0,3,17,target,0,2,67,FALSE
0.12,0,4,17,distr2,0,2,66,FALSE
0.15,0,6,17,distr1,0,2,66,FALSE
0.12,0,5,17,target,0,2,66,FALSE
0.15,0,7,17,target,0,2,66,FALSE
0.18,0,8,17,target,0,2,67,FALSE
0.21,0,9,17,target,0,2,67,FALSE
0.24,0,10,17,target,0,2,67,FALSE
0.27,0,11,17,target,0,2,67,FALSE
0.3,0,12,17,distr1,0,2,66,FALSE
0.3,0,13,17,target,0,2,66,FALSE
0.33,0,14,17,target,0,2,66,FALSE
0.36,0,15,17,target,0,2,66,FALSE
0,1,0,17,target,0,2,65,FALSE
0.03,1,1,17,target,0,2,65,FALSE
0.06,1,2,17,target,0,2,65,FALSE
0.12,1,4,17,target,0,2,68,FALSE
0.09,1,3,17,target,0,2,65,FALSE
0.18,1,6,17,target,0,2,68,FALSE
0.15,1,5,17,target,0,2,68,FALSE
0.21,1,7,17,target,0,2,68,FALSE
0.24,1,8,17,target,0,2,65,FALSE
0.27,1,9,17,target,0,2,65,FALSE
0.33,1,11,17,target,0,2,65,FALSE
0.3,1,10,17,target,0,2,65,FALSE
0.39,1,13,17,target,0,2,68,FALSE
0.36,1,12,17,target,0,2,68,FALSE
0.45,1,15,17,target,0,2,68,FALSE
0.42,1,14,17,target,0,2,68,FALSE
0.39,2,0,17,target,1,2,67,FALSE
0.42,2,1,17,target,1,2,67,FALSE
0.45,2,2,17,target,1,2,67,FALSE
0.6,2,4,17,target,1,2,68,FALSE
0.66,2,6,17,target,1,2,68,FALSE
0.48,2,3,17,target,1,2,67,FALSE
0.63,2,5,17,target,1,2,68,FALSE
0.69,2,7,17,target,1,2,68,FALSE
0.63,2,8,17,target,1,2,67,FALSE
0.66,2,9,17,target,1,2,67,FALSE
0.69,2,10,17,target,1,2,67,FALSE
0.72,2,11,17,target,1,2,67,FALSE
0.84,2,12,17,target,1,2,68,FALSE
0.9,2,14,17,target,1,2,68,FALSE
0.87,2,13,17,target,1,2,68,FALSE
0.93,2,15,17,target,1,2,68,FALSE
0.48,3,0,17,target,1,2,65,FALSE
0.51,3,1,17,target,1,2,65,FALSE
0.54,3,2,17,target,1,2,65,FALSE
0.57,3,3,17,target,1,2,65,FALSE
0.54,3,5,17,target,1,2,66,FALSE
0.6,3,7,17,target,1,2,66,FALSE
0.51,3,4,17,target,1,2,66,FALSE
0.57,3,6,17,target,1,2,66,FALSE
0.72,3,8,17,target,1,2,65,FALSE
0.75,3,9,17,target,1,2,65,FALSE
0.81,3,11,17,target,1,2,65,FALSE
0.78,3,13,17,target,1,2,66,FALSE
0.78,3,10,17,target,1,2,65,FALSE
0.75,3,12,17,target,1,2,66,FALSE
0.81,3,14,17,target,1,2,66,FALSE
0.84,3,15,17,target,1,2,66,FALSE
0.87,4,1,17,target,2,2,67,TRUE
0.87,4,0,17,distr1,2,2,67,TRUE
0.9,4,2,17,target,2,2,67,TRUE
1.11,4,7,17,target,2,2,65,TRUE
1.05,4,8,17,target,2,2,67,TRUE
1.05,4,4,17,distr1,2,2,65,TRUE
1.05,4,5,17,target,2,2,65,TRUE
1.08,4,6,17,target,2,2,65,TRUE
0.93,4,3,17,target,2,2,67,TRUE
1.11,4,10,17,target,2,2,67,TRUE
1.08,4,9,17,target,2,2,67,TRUE
1.26,4,12,17,target,2,2,65,TRUE
1.35,4,15,17,target,2,2,65,TRUE
1.32,4,14,17,target,2,2,65,TRUE
1.14,4,11,17,target,2,2,67,TRUE
